start,stop,n,time_start_star,time_end_star,delta_aicc,loocv_ratio,phi_physical,tau_physical_star,mode_alignment_reference,uniform_mode_correlation,far_angle_mean_correlation,psd_correction_physical,strict_window_pass,case,strict_window_pass_corrected
144,336,192,70.7277403143241,164.5402292034623,-5.29779957110307,1.1240425644765903,0.995,97.9871850618541,0.6292023295113554,0.3885645153236973,-0.035951766584237,1.2064334141796246e-14,0,Kn0p075,False
192,384,192,94.30365375243213,188.11614264157032,-1.0398034244471432,3.239809531230222,-0.25,,0.7475632086125458,0.6261327121022531,0.0371618350539869,0.5301991517005349,0,Kn0p075,False
240,432,192,117.87956719054014,211.6920560796784,-2.475985811915365,3.606367626300023,-0.25,,0.7671402776128897,0.6174779686492308,0.0277972246907357,0.5714015109559467,0,Kn0p075,False
288,480,192,141.4554806286482,235.2679695177864,-5.500514473210657,1.1105684869584032,0.8428056112224449,2.8719910524277616,0.6968926779155277,0.4892650112432661,0.0089786152297554,0.0004470426856966,0,Kn0p075,False
336,528,192,165.0313940667562,258.8438829558944,10.980244850485532,1.191136348170492,0.5758416833667336,0.8899163437065942,0.7368745862472272,0.5913106899614449,0.0335839333491969,0.1199532665959444,0,Kn0p075,False
384,576,192,188.60730750486425,282.41979639400245,16.197862878031273,4.421905852175645,0.1741482965931864,0.2810111894485637,0.9066443038841492,0.8623336152694069,0.1086048048847604,0.6624327186143962,0,Kn0p075,False
432,624,192,212.18322094297227,305.9957098321105,20.86732986860939,2.9800454769242086,0.2714529058116233,0.3766698150504459,0.9002300591453724,0.8527171422452977,0.1081915368943685,0.5389664644999183,0,Kn0p075,False
480,672,192,235.7591343810803,329.5716232702185,6.360107306935007,4.484182378892833,0.2514929859719439,0.3558288535716268,0.6865223419654338,0.5680869935246811,0.090900410182726,0.6532990816925713,0,Kn0p075,False
0,192,192,0.0,70.479,32.46742789233036,0.9757230417149187,0.8228456913827655,1.8924378224785616,0.7562567798595174,0.6936631509535984,0.1025175179926508,0.011041000008893,0,Kn0p10,True
48,240,192,17.712,88.191,34.99767291201927,0.9123906528748102,0.7879158316633268,1.5480525099589189,0.7646352794080875,0.6625887735059179,0.0751283453184965,0.0187493083340745,0,Kn0p10,True
96,288,192,35.424,105.903,-8.436328519459039,1.2524420104320535,0.7155611222444891,1.1025185123558232,0.6253743977267854,0.4724243729827285,0.0037749195351862,0.0582854377030943,0,Kn0p10,False
144,336,192,53.136,123.615,-6.774402709099206,1.4187978653166804,0.5359218436873748,0.5915670979388358,0.6253273218079505,0.4058205041951663,-0.0208897505745144,0.1708066480786759,0,Kn0p10,False
192,384,192,70.848,141.327,-5.125142316054138,1.663303715688261,0.4585771543086173,0.4733034254894069,0.4167748694167451,0.2975477388601732,-0.0259856976685432,0.256814276501062,0,Kn0p10,False
0,192,192,0.0,74.32726321215945,4.150078215622258,8.006009043409902,0.0718537074148296,0.1477895126135239,0.8434649755183333,0.7540640069370406,0.038749702969024,0.8348349447067388,0,Kn0p15,False
48,240,192,18.67910279677305,93.0063660089325,-8.65395482320507,20.62267144963081,0.1042885771543086,0.1721441669626468,0.3419329787724854,0.2370215489122561,0.0027278513248948,0.9275029500926516,0,Kn0p15,False
96,288,192,37.35820559354611,111.68546880570555,-7.253314107571967,20.621824442902405,0.0968036072144288,0.1666535927470154,0.2526156592157514,0.2449332713322436,-0.0162398775408882,0.9279614316980086,0,Kn0p15,False
144,336,192,56.03730839031917,130.3645716024786,-6.0805361330817504,26.565404138656245,0.0743486973947896,0.1497305129210019,0.5794071523168574,0.4192367194392139,-0.0134340125679716,0.9432714401631686,0,Kn0p15,False
192,384,192,74.71641118709222,149.04367439925167,-4.651816146691829,7.178943278021719,0.1916132264529058,0.2355223246215982,0.8566723288813123,0.7098622955896741,0.0529507462786473,0.7595645746938691,0,Kn0p15,False
240,432,192,93.39551398386529,167.72277719602474,-2.6228914540188697,5.880274686661309,0.186623246492986,0.2318201317287188,0.8064652184671514,0.7868762822851675,0.0628713499669611,0.7221456537007359,0,Kn0p15,False
288,480,192,112.07461678063834,186.40187999279777,9.459150730219534,4.360365899424797,0.1916132264529058,0.2355223246215982,0.7083770603778019,0.5327067757257469,0.0186929952914652,0.6594813817843717,0,Kn0p15,False
336,528,192,130.75371957741137,205.08098278957084,17.736794837085405,2.6971887438088524,0.2639679358717435,0.2921690066030958,0.7949733301047037,0.6615235660828797,0.0503514991668342,0.5044991999349191,0,Kn0p15,False
384,576,192,149.43282237418444,223.76008558634388,11.208635815333324,4.08693140788156,0.2240480961923848,0.2601439913174287,0.8188792220391876,0.6983601888044001,0.0430822256291676,0.6535001061917889,0,Kn0p15,False
432,624,192,168.1119251709575,242.4391883831169,9.915227515862654,4.29572228138887,0.2539879759519038,0.2839525439647772,0.5613267535484503,0.4890558396934941,0.0539983708463873,0.6325905414986495,0,Kn0p15,False
480,672,192,186.7910279677305,261.11829117989,-4.887470072778896,11.62886360305902,0.1042885771543086,0.1721441669626468,0.5873924331167121,0.3237213295791636,-0.001543794858842,0.87966900590734,0,Kn0p15,False
