case,criterion,amplitude_multiplier,injected_global_std_R,hits,replicates,power,power_wilson_low,power_wilson_high
Kn0p050,uniform,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,uniform,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p050,uniform,1.5,0.0008561780785161,2,100,0.02,0.0055019675501623,0.0700117907285438
Kn0p050,uniform,2.0,0.0011415707713548,9,100,0.09,0.0480725400025651,0.1622621285271631
Kn0p050,uniform,3.0,0.0017123561570323,56,100,0.56,0.4622810465167699,0.6532797336983921
Kn0p050,uniform,4.0,0.0022831415427097,84,100,0.84,0.7557973061072976,0.8990471151119521
Kn0p050,uniform,6.0,0.0034247123140646,96,100,0.96,0.9016292856411208,0.9843366960084524
Kn0p075,reference,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,reference,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,reference,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,reference,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,reference,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,reference,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,reference,1.5,0.0008561780785161,1,100,0.01,0.0017674320641406,0.0544861961787053
Kn0p075,reference,2.0,0.0011415707713548,5,100,0.05,0.0215436791543679,0.1117504692319191
Kn0p075,reference,3.0,0.0017123561570323,47,100,0.47,0.3751081795934127,0.5671114302990063
Kn0p075,reference,4.0,0.0022831415427097,72,100,0.72,0.6251197129007884,0.7986031478881379
Kn0p075,reference,6.0,0.0034247123140646,99,100,0.99,0.9455138038212946,0.9982325679358592
Kn0p075,uniform,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,uniform,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,uniform,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,uniform,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,uniform,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,uniform,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p075,uniform,1.5,0.0008561780785161,1,100,0.01,0.0017674320641406,0.0544861961787053
Kn0p075,uniform,2.0,0.0011415707713548,5,100,0.05,0.0215436791543679,0.1117504692319191
Kn0p075,uniform,3.0,0.0017123561570323,47,100,0.47,0.3751081795934127,0.5671114302990063
Kn0p075,uniform,4.0,0.0022831415427097,72,100,0.72,0.6251197129007884,0.7986031478881379
Kn0p075,uniform,6.0,0.0034247123140646,99,100,0.99,0.9455138038212946,0.9982325679358592
Kn0p10,reference,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,1.5,0.0008561780785161,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,2.0,0.0011415707713548,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,reference,3.0,0.0017123561570323,11,100,0.11,0.0625419635706456,0.1863129650308031
Kn0p10,reference,4.0,0.0022831415427097,41,100,0.41,0.3186731302113651,0.5079856994658921
Kn0p10,reference,6.0,0.0034247123140646,87,100,0.87,0.7901964855992357,0.9224283257275948
Kn0p10,uniform,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
