snapshot,time_star,marker_over_R,D_reference_mode_amp_over_R,D_reference_mode_spatial_corr,D_reference_mode_projection_fraction,D_uniform_amp_over_R,D_uniform_spatial_corr,D_uniform_projection_fraction,MA_reference_mode_amp_over_R,MA_reference_mode_spatial_corr,MA_reference_mode_projection_fraction,MA_uniform_amp_over_R,MA_uniform_spatial_corr,MA_uniform_projection_fraction,TTR_reference_mode_amp_over_R,TTR_reference_mode_spatial_corr,TTR_reference_mode_projection_fraction,TTR_uniform_amp_over_R,TTR_uniform_spatial_corr,TTR_uniform_projection_fraction,P_reference_mode_amp_over_R,P_reference_mode_spatial_corr,P_reference_mode_projection_fraction,P_uniform_amp_over_R,P_uniform_spatial_corr,P_uniform_projection_fraction
108,25.64737841419752,0.0007271695170962377,0.0006071127293530756,0.201097964339334,0.04044039126142404,0.0006896629918767676,0.22443849984933312,0.050372640214619104,0.001020925773547345,0.2311534338369924,0.05343190997463283,0.0012542842651258133,0.25046460132339926,0.06273251651608934,0.0018259224675897757,0.2452781979828457,0.06016139440571206,0.002245454081881508,0.2891540360583767,0.083610056568849,0.0004343569261611394,0.12887829788928037,0.016609615666838086,0.0006610015988957644,0.20276252960578445,0.04111264341213662
109,25.88707353956385,0.0011262994947271892,0.0004969390651844731,0.14841667610327752,0.022027509745545192,5.549409176616548e-05,0.01628352443306102,0.00026515316796209526,-0.0002766556995956221,-0.06636636228325761,0.0044044940427125975,0.0002232123594135815,0.04722487628133593,0.0022301889397874854,-0.001017286679103825,-0.1421586703556432,0.02020908755728443,-3.3191901782590856e-05,-0.004446421175717923,1.9770661271872758e-05,0.00030251680664904895,0.08627986446888274,0.007444215012768774,6.691040545388517e-05,0.019729031151297902,0.000389234670168883
110,26.126768664930182,0.0004984565927451485,0.0005934829511932186,0.18372728507033598,0.03375571527931649,0.0007661468891817702,0.23302340943297126,0.05429990934376616,0.0007340835301519329,0.1719750713766943,0.0295754251750191,0.000748161338409802,0.15458219835303752,0.023895656047657837,0.00046045279951423105,0.07101859971428545,0.005043641505377905,0.00011167029422545801,0.016510989967912403,0.00027261278972050404,0.0006230169426392374,0.17786379340339753,0.031635529003846474,0.0006877831406296093,0.20299781779258383,0.041208114028551075
111,26.366463790296514,-4.750904291649166e-05,0.00029701792119251507,0.08882745909801985,0.007890317489810391,0.0006342522158998699,0.1863582734399333,0.03472940607951294,0.0013699988423989749,0.30007719237095093,0.09004632138123268,0.0009881495293351998,0.19088845145131936,0.0364384008974827,0.0016811247158847195,0.22585664021237187,0.05101122192802078,0.0008472847850805623,0.10912161975606023,0.011907527898186191,0.0007541464267571745,0.19260962375513854,0.037098467163096026,0.000704698742425117,0.18607068302420596,0.03462229908109453
112,26.606158915662846,0.00029262879862021257,0.0008079942327612938,0.2261310707727406,0.05113526116882622,0.0007081053806546042,0.19470269933049988,0.03790914112658304,-0.0002678174608825529,-0.06027212505754757,0.0036327290589526526,-0.00044456225333072924,-0.08823774482882518,0.007785899612476865,-0.001096272384271558,-0.15634141876655167,0.024442639221938272,-0.0009724122589061832,-0.13293963002695106,0.017672945231702628,-3.558164162948403e-05,-0.008981950663426405,8.067543772022603e-05,-0.00010252069665640505,-0.02675521115088048,0.000715841323728199
113,26.845854041029177,0.0008133903513776456,0.0006530402545654514,0.2019122946337071,0.04076857472424894,0.00035437786784914017,0.10764937240050186,0.011588387378221933,-0.0009759172792709501,-0.19169935814636224,0.03674864391372726,-0.00046926888339137156,-0.08129682934882024,0.006609174462171201,-0.00011660294572455209,-0.016070850202899535,0.00025827222624403597,0.00034112770068389284,0.045070749877823675,0.002031372494549343,0.0005438165936117707,0.1400556595259563,0.019615587765250592,0.0003778826097063727,0.10061373329295144,0.010123123327145166
114,27.08554916639551,-0.00039316477173285236,-0.0004434181969951899,-0.14132299704799633,0.019972189494627982,-0.00025779970636236304,-0.08072421778600669,0.00651639933716264,-0.00014246505040642595,-0.03764950492962514,0.001417485221445868,-0.00031961657744507586,-0.07449453773467167,0.00554943615230242,0.00010062696776614277,0.015942818521760282,0.0002541734624177828,-0.0005046559209511191,-0.07664689310861963,0.005874746223204162,-0.0006018188285599481,-0.17220983163601955,0.0296562261121062,-0.000540430749416972,-0.15987640451872012,0.02556046472183343
115,27.32524429176184,-0.0005103782437213085,-9.325176002842743e-05,-0.030742134199085704,0.0009450788151145947,-2.5517832335253864e-05,-0.008264999964539794,6.831022441384278e-05,-4.5251487538384214e-05,-0.011508608082049879,0.0001324480599862238,-0.00031232196965223845,-0.07005460271897902,0.004907647362113984,-0.00010328665259794147,-0.014958532980291902,0.00022375770892248047,-0.00023868893225056781,-0.033137943127293276,0.0010981232747077237,-8.00578473358433e-05,-0.02290064110888742,0.0005244393631980644,-0.0002866040374678779,-0.08475750943988848,0.007183835406452785
116,27.564939417128173,-0.0004396659867455776,-0.0002549386608157151,-0.07424020141123763,0.005511607505581131,-0.0002733036830665341,-0.07819356707039005,0.006114233931191589,0.000650098625068822,0.1453744393770799,0.021133727624200273,-0.0003691410380471574,-0.07280233918666361,0.005300180591050015,0.0010794962271811483,0.146914023878063,0.02158373041204406,-9.4222308825381e-05,-0.01229261650377048,0.0001511084205087704,0.00012880201039347397,0.03320000728901046,0.0011022404839903476,-0.0003558022666368328,-0.09481485776287846,0.00898985725259487
117,27.804634542494505,-0.00010347352750668402,-0.000216498691713731,-0.06473200932060265,0.004190233030682589,-0.0008538594274772157,-0.25082584808696784,0.06291360606854665,-0.00012835596342901075,-0.030482282582225555,0.0009291695514226516,-0.0006164918821381175,-0.12912281794305258,0.0166727021135547,-0.00044268578173040915,-0.06137852584990317,0.003767323435507231,-0.000849325067590654,-0.11288683279264584,0.012743437017954782,-1.640895257578397e-05,-0.0046341230441124545,2.1475096387974083e-05,-0.0005050500474738195,-0.14745967331596266,0.02174435525445043
